list_name,name,label,Type,GrowthHabitSub,Duration,Foliar,fulllist
PlantsList,GERO2,GERO2    Geum rossii (R. Br.) Ser.    Ross  avens,NonWoody,Forb,Perennial,Y,Y
PlantsList,GETH,GETH    Gentianopsis thermalis (Kuntze) Iltis    Rock Mountain fringed gentian,NonWoody,Forb,Annual,Y,Y
PlantsList,GETR,GETR    Geum triflorum    prairie smoke,NonWoody,Forb,Perennial,Y,Y
PlantsList,GEUM,GEUM    Geum spp.    Avens,NonWoody,Forb,Perennial,Y,Y
PlantsList,GEVI2,GEVI2    Geranium viscosissimum    Sticky purple geranium,NonWoody,Forb,Perennial,Y,Y
PlantsList,GEVII,GEVII    Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey. var. incisum (Torr. & A. Gray) N.H. Holmgren    sticky purple geranium,NonWoody,Forb,Perennial,Y,Y
PlantsList,GIAG,GIAG    Gilia aggregata    Scarlet gilia,NonWoody,Forb,Perennial,Y,Y
PlantsList,GICL2,GICL2    Gilia clokeyi H. Mason    Clokey's gilia,NonWoody,Forb,Perennial,Y,Y
PlantsList,GILIA,GILIA    Gilia Ruiz & Pav.    gilia,NonWoody,Forb,Annual,Y,Y
PlantsList,GIOP,GIOP    Gilia ophthalmoides Brand    eyed gilia,NonWoody,Forb,Annual,Y,Y
PlantsList,GIPI,GIPI    Gilia pinnatifida Nutt. ex A. Gray,NonWoody,Forb,Annual,Y,Y
PlantsList,GITW,GITW    Gilia tweedyi Rydb.    Tweedy s gila,NonWoody,Forb,Annual,Y,Y
PlantsList,GLBI2,GLBI2    Glandularia bipinnatifida (Nutt.) Nutt.    Dakota mock vervain,NonWoody,Forb,Perennial,Y,Y
PlantsList,GLLE3,GLLE3    Glycyrrhiza lepidota Pursh     American licorice,NonWoody,Forb,Perennial,Y,Y
PlantsList,GLSPM,GLSPM    Glossopetalon spinescens A. Gray var. meionandrum (Koehne) Trel.    spiny greasebush,Woody,Shrub,Perennial,Y,Y
PlantsList,GLST,GLST    Glyceria striata (Lam.) Hitchc.    fowl mannagrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,GLYCE,GLYCE    Glyceria R. Br.    mannagrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,GNEX,GNEX    Gnaphalium exilifolium A. Nelson    slender cudweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GNPA,GNPA    Gnaphalium palustre Nutt.    western marsh cudweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GNUL,GNUL    Gnaphalium uliginosum L.    marsh cudweed,NonWoody,Forb,Annual,Y,Y
