"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"ABIES","","Abies","Pinaceae","","","L48(I,N)CAN(N)SPM(N)"
"ABCO","","Abies concolor","Pinaceae","Perennial","Tree","L48(N)"
"ABLA","","Abies lasiocarpa","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)"
"ABLAA","","Abies lasiocarpa var. arizonica","Pinaceae","Perennial","Tree","L48(N)"
"ABLAL","","Abies lasiocarpa var. lasiocarpa","Pinaceae","Perennial","Tree","L48(N)AK(N)CAN(N)"
"ABRON","","Abronia","Nyctaginaceae","","","L48(N)CAN(N)"
"ABAR","","Abronia argillosa","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABCA","","Abronia carletonii","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABEL","","Abronia elliptica","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABFR2","","Abronia fragrans","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABNA","","Abronia nana","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABNAN","","Abronia nana var. nana","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ABUTI","","Abutilon","Malvaceae","","","L48(I,N)CAN(I)"
"ABIN","","Abutilon incanum","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)HI(N)"
"ABPA3","","Abutilon parvulum","Malvaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"ABTH","","Abutilon theophrasti","Malvaceae","Annual","Forb/herb","L48(I)CAN(I)"
"ACARO2","","Acarospora","Acarosporaceae","","","NA(N)"
"ACER","","Acer","Aceraceae","","","L48(I,N)CAN(I,N)SPM(N)"
"ACGL","","Acer glabrum","Aceraceae","Perennial","Shrub, Tree","L48(N)AK(I?)CAN(N)"
"ACGLG2","","Acer glabrum var. glabrum","Aceraceae","Perennial","Shrub, Tree","L48(N)"
"ACGLN2","","Acer glabrum var. neomexicanum","Aceraceae","Perennial","Tree, Shrub","L48(N)"
"ACGR3","","Acer grandidentatum","Aceraceae","Perennial","Tree, Shrub","L48(N)"
"ACGRG","","Acer grandidentatum var. grandidentatum","Aceraceae","Perennial","Shrub, Tree","L48(N)"
"ACNE2","","Acer negundo","Aceraceae","Perennial","Tree","L48(N)CAN(N)"
"ACNEI2","","Acer negundo var. interius","Aceraceae","Perennial","Tree","L48(N)"
"ACNEN","","Acer negundo var. negundo","Aceraceae","Perennial","Tree","L48(N)CAN(N)"
"ACNEV","","Acer negundo var. violaceum","Aceraceae","Perennial","Tree","L48(N)"
"ACHIL","","Achillea","Asteraceae","","","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)"
"ACMI2","","Achillea millefolium","Asteraceae","Perennial","Forb/herb","L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)"
"ACMIA","","Achillea millefolium var. alpicola","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)"
"ACMIO","","Achillea millefolium var. occidentalis","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"ACHNA","","Achnatherum","Poaceae","","","L48(I,N)CAN(N)"
"ACBL","","Achnatherum ×bloomeri","Poaceae","Perennial","Graminoid","L48(N)"
"ACAR14","","Achnatherum aridum","Poaceae","Perennial","Graminoid","L48(N)"
"ACCO22","","Achnatherum contractum","Poaceae","Perennial","Graminoid","L48(N)"
"ACHY","","Achnatherum hymenoides","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACLE9","","Achnatherum lettermanii","Poaceae","Perennial","Graminoid","L48(N)"
"ACNE9","","Achnatherum nelsonii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNED","","Achnatherum nelsonii ssp. dorei","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNEN2","","Achnatherum nelsonii ssp. nelsonii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACNE10","","Achnatherum nevadense","Poaceae","Perennial","Graminoid","L48(N)"
"ACOC3","","Achnatherum occidentale","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACOCP","","Achnatherum occidentale ssp. pubescens","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ACPI2","","Achnatherum pinetorum","Poaceae","Perennial","Graminoid","L48(N)"
"ACRI8","","Achnatherum richardsonii","Poaceae","Perennial","Graminoid","L48(N)AK(I)CAN(N)"
"ACRO7","","Achnatherum robustum","Poaceae","Perennial","Graminoid","L48(N)"
"ACSC11","","Achnatherum scribneri","Poaceae","Perennial","Graminoid","L48(N)"
"ACSP12","","Achnatherum speciosum","Poaceae","Perennial","Graminoid","L48(N)"
"ACTH7","","Achnatherum thurberianum","Poaceae","Perennial","Graminoid","L48(N)"
"ACWE3","","Achnatherum webberi","Poaceae","Perennial","Graminoid","L48(N)"
"ACONI","","Aconitum","Ranunculaceae","","","L48(I,N)CAN(GP)"
"ACCO4","","Aconitum columbianum","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ACCOC3","","Aconitum columbianum ssp. columbianum","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ACORU","","Acorus","Acoraceae","","","L48(I,N)CAN(I,N)"
"ACCA4","","Acorus calamus","Acoraceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ACROP","","Acroptilon","Asteraceae","","","L48(I)CAN(I)"
"ACRE3","","Acroptilon repens","Asteraceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ACTAE","","Actaea","Ranunculaceae","","","L48(I,N)CAN(N)"
"ACRU2","","Actaea rubra","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ACRUA8","","Actaea rubra ssp. arguta","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ADIAN","","Adiantum","Pteridaceae","","","L48(I,N)CAN(N)"
"ADAL","","Adiantum aleuticum","Pteridaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ADCA","","Adiantum capillus-veneris","Pteridaceae","Perennial","Forb/herb","L48(N)HI(N)PR(N)CAN(N)"
"ADOXA","","Adoxa","Adoxaceae","","","L48(N)CAN(N)"
"ADMO","","Adoxa moschatellina","Adoxaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"AEGIL","","Aegilops","Poaceae","","","L48(I)"
"AECY","","Aegilops cylindrica","Poaceae","Annual","Graminoid","L48(I)"
"AGALI","","Agalinis","Scrophulariaceae","","","L48(N)CAN(N)"
"AGTE3","","Agalinis tenuifolia","Scrophulariaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AGTEP2","","Agalinis tenuifolia var. parviflora","Scrophulariaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AGAST","","Agastache","Lamiaceae","","","L48(N)CAN(N)"
"AGFO","","Agastache foeniculum","Lamiaceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"AGPA","","Agastache pallidiflora","Lamiaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"AGPAP2","","Agastache pallidiflora ssp. pallidiflora","Lamiaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"AGPAG4","","Agastache pallidiflora ssp. pallidiflora var. greenei","Lamiaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"AGUR","","Agastache urticifolia","Lamiaceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"AGURU","","Agastache urticifolia var. urticifolia","Lamiaceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"AGERA2","","Ageratina","Asteraceae","","","L48(I,N)CAN(N)"
"AGHE5","","Ageratina herbacea","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"AGOSE","","Agoseris","Asteraceae","","","L48(N)CAN(N)"
"AGMO2","","Agoseris ×montana","Asteraceae","Perennial","Forb/herb","L48(N)"
"AGAU2","","Agoseris aurantiaca","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)"
"AGAUA","","Agoseris aurantiaca var. aurantiaca","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)"
"AGAUP","","Agoseris aurantiaca var. purpurea","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"AGGL","","Agoseris glauca","Asteraceae","Perennial","Forb/herb, Subshrub, Shrub","L48(N)AK(N)CAN(N)"
"AGGLA","","Agoseris glauca var. agrestis","Asteraceae","Perennial","Forb/herb","L48(N)"
"AGGLD","","Agoseris glauca var. dasycephala","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"AGGLG","","Agoseris glauca var. glauca","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"AGGLL","","Agoseris glauca var. laciniata","Asteraceae","Perennial","Forb/herb, Subshrub, Shrub","L48(N)"
"AGHE2","","Agoseris heterophylla","Asteraceae","Annual","Forb/herb","L48(N)CAN(N)"
"AGHEH","","Agoseris heterophylla var. heterophylla","Asteraceae","Annual","Forb/herb","L48(N)CAN(N)"
"AGRIM","","Agrimonia","Rosaceae","","","L48(I,N)SPM(N)"
"AGST","","Agrimonia striata","Rosaceae","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"AGROP2","","Agropyron","Poaceae","","","L48(I)CAN(I)"
"AGCR","","Agropyron cristatum","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)"
"AGCRC","","Agropyron cristatum ssp. cristatum","Poaceae","Perennial","Graminoid","L48(I)"
"AGCRP8","","Agropyron cristatum ssp. pectinatum","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)"
"AGDE2","","Agropyron desertorum","Poaceae","Perennial","Graminoid","L48(I)"
"AGFR","","Agropyron fragile","Poaceae","Perennial","Graminoid","L48(I)CAN(I)"
"AGROS","","Agrostemma","Caryophyllaceae","","","L48(I)CAN(I)"
"AGBR4","","Agrostemma brachyloba","Caryophyllaceae","Annual","Forb/herb","L48(I)"
"AGGI","","Agrostemma githago","Caryophyllaceae","Annual","Forb/herb","L48(I)AK(I)CAN(I)"
"AGROS2","","Agrostis","Poaceae","","","L48(I,N)GL(I,N)"
"AGEX","","Agrostis exarata","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"AGGI2","","Agrostis gigantea","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)"
"AGHU","","Agrostis humilis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"AGID","","Agrostis idahoensis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"AGME3","","Agrostis mertensii","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"AGSC5","","Agrostis scabra","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"AGST2","","Agrostis stolonifera","Poaceae","Perennial","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)"
"AGVA","","Agrostis variabilis","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"AILAN","","Ailanthus","Simaroubaceae","","","L48(I)CAN(I)"
"AIAL","","Ailanthus altissima","Simaroubaceae","Perennial","Tree","L48(I)HI(I)CAN(I)"
"ALCEA","","Alcea","Malvaceae","","","L48(I)CAN(I)"
"ALRO3","","Alcea rosea","Malvaceae","Biennial, Perennial","Forb/herb","L48(I)PR(I)CAN(I)"
"ALETE","","Aletes","Apiaceae","","","L48(N)"
"ALAC2","","Aletes acaulis","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALAN3","","Aletes anisatus","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALHU","","Aletes humilis","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALMA3","","Aletes macdougalii","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALMAB","","Aletes macdougalii ssp. breviradiatus","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALSE5","","Aletes sessiliflorus","Apiaceae","Perennial","Forb/herb","L48(N)"
"ALHAG","","Alhagi","Fabaceae","","","L48(I)"
"ALMA12","","Alhagi maurorum","Fabaceae","Perennial","Shrub","L48(I)"
"ALICI","","Aliciella","Polemoniaceae","","","L48(N)"
"ALHA6","","Aliciella haydenii","Polemoniaceae","Annual, Biennial","Forb/herb","L48(N)"
"ALLE7","","Aliciella leptomeria","Polemoniaceae","Annual","Forb/herb","L48(N)"
"ALMC","","Aliciella mcvickerae","Polemoniaceae","Annual, Biennial","Forb/herb","L48(N)"
"ALMI10","","Aliciella micromeria","Polemoniaceae","Annual","Forb/herb","L48(N)"
"ALPE11","","Aliciella penstemonoides","Polemoniaceae","Biennial, Perennial","Forb/herb","L48(N)"
"ALPI2","","Aliciella pinnatifida","Polemoniaceae","Annual, Biennial, Perennial","Forb/herb","L48(N)"
"ALSE11","","Aliciella sedifolia","Polemoniaceae","Annual","Forb/herb","L48(N)"
"ALST12","","Aliciella stenothyrsa","Polemoniaceae","Perennial","Forb/herb","L48(N)"
"ALSU10","","Aliciella subacaulis","Polemoniaceae","Annual","Forb/herb","L48(N)"
"ALSU9","","Aliciella subnuda","Polemoniaceae","Biennial, Perennial","Forb/herb","L48(N)"
"ALTR14","","Aliciella triodon","Polemoniaceae","Annual","Forb/herb","L48(N)"
"ALISM","","Alisma","Alismataceae","","","L48(I,N)CAN(N)"
"ALGR","","Alisma gramineum","Alismataceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALSU","","Alisma subcordatum","Alismataceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALTR7","","Alisma triviale","Alismataceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ALLIA","","Alliaria","Brassicaceae","","","L48(I)CAN(I)"
"ALPE4","","Alliaria petiolata","Brassicaceae","Annual, Biennial","Forb/herb","L48(I)AK(I)CAN(I)"
"ALLIO","","Allionia","Nyctaginaceae","","","L48(N)"
"ALCH","","Allionia choisyi","Nyctaginaceae","Annual, Perennial","Forb/herb","L48(N)"
"ALIN","","Allionia incarnata","Nyctaginaceae","Annual, Perennial","Forb/herb","L48(N)"
"ALINI","","Allionia incarnata var. incarnata","Nyctaginaceae","Perennial","Forb/herb","L48(N)"
"ALLIU","","Allium","Liliaceae","","","L48(I,N)"
"ALAC4","","Allium acuminatum","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALBR","","Allium brandegeei","Liliaceae","Perennial","Forb/herb","L48(N)"
"ALBR2","","Allium brevistylum","Liliaceae","Perennial","Forb/herb","L48(N)"
"ALCE2","","Allium cernuum","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALCEC2","","Allium cernuum var. cernuum","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALCEO","","Allium cernuum var. obtusum","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALGE","","Allium geyeri","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALGEG","","Allium geyeri var. geyeri","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALGET","","Allium geyeri var. tenerum","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALMA4","","Allium macropetalum","Liliaceae","Perennial","Forb/herb","L48(N)"
"ALNE","","Allium nevadense","Liliaceae","Perennial","Forb/herb","L48(N)"
"ALSA2","","Allium sativum","Liliaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ALSC","","Allium schoenoprasum","Liliaceae","Perennial","Forb/herb","L48(I,N)AK(NI)CAN(NI)"
"ALSCS","","Allium schoenoprasum var. sibiricum","Liliaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ALTE","","Allium textile","Liliaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALMUT2","","Almutaster","Asteraceae","","","L48(N)CAN(N)"
"ALPA14","","Almutaster pauciflorus","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ALNUS","","Alnus","Betulaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"ALIN2","","Alnus incana","Betulaceae","Perennial","Tree, Shrub","L48(N)AK(N)CAN(N)SPM(N)"
"ALINT","","Alnus incana ssp. tenuifolia","Betulaceae","Perennial","Shrub, Tree","L48(N)AK(N)CAN(N)"
"ALOPE","","Alopecurus","Poaceae","","","L48(I,N)GL(I,N)SPM(I)"
"ALAE","","Alopecurus aequalis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"ALAEA","","Alopecurus aequalis var. aequalis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"ALAR","","Alopecurus arundinaceus","Poaceae","Perennial","Graminoid","L48(I)CAN(W)"
"ALCA4","","Alopecurus carolinianus","Poaceae","Annual","Graminoid","L48(N)CAN(N)"
"ALGE2","","Alopecurus geniculatus","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
"ALGEG4","","Alopecurus geniculatus var. geniculatus","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
"ALMA8","","Alopecurus magellanicus","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"ALPR3","","Alopecurus pratensis","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
"ALYSS","","Alyssum","Brassicaceae","","","L48(I)CAN(I,N)"
"ALAL3","","Alyssum alyssoides","Brassicaceae","Annual, Biennial","Forb/herb","L48(I)CAN(I)"
"ALDE","","Alyssum desertorum","Brassicaceae","Annual","Forb/herb","L48(I)CAN(I)"
"ALDED","","Alyssum desertorum var. desertorum","Brassicaceae","Annual","Forb/herb","L48(I)CAN(I)"
"ALMU","","Alyssum murale","Brassicaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ALSI8","","Alyssum simplex","Brassicaceae","Annual","Forb/herb","L48(I)"
"AMARA","","Amaranthus","Amaranthaceae","","","SPM(I,W)"
"AMAL","","Amaranthus albus","Amaranthaceae","Annual","Forb/herb","L48(I)AK(I)CAN(W)SPM(W)"
"AMAR","","Amaranthus arenicola","Amaranthaceae","Annual","Forb/herb","L48(N)"
"AMBL","","Amaranthus blitoides","Amaranthaceae","Annual","Forb/herb","L48(I)AK(I)CAN(I)"
"AMHY","","Amaranthus hybridus","Amaranthaceae","Annual","Forb/herb","L48(N)HI(I)CAN(I)"
"AMPA","","Amaranthus palmeri","Amaranthaceae","Annual","Forb/herb","L48(N)CAN(I)"
"AMPO2","","Amaranthus powellii","Amaranthaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMPOP","","Amaranthus powellii ssp. powellii","Amaranthaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMRE","","Amaranthus retroflexus","Amaranthaceae","Annual","Forb/herb","L48(N)AK(I)HI(I)CAN(I)SPM(I)"
"AMTU","","Amaranthus tuberculatus","Amaranthaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMWR","","Amaranthus wrightii","Amaranthaceae","Annual","Forb/herb","L48(N)"
"AMBRO","","Ambrosia","Asteraceae","","","L48(I,N)CAN(N)"
"AMAC2","","Ambrosia acanthicarpa","Asteraceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMAR2","","Ambrosia artemisiifolia","Asteraceae","Annual","Forb/herb","L48(I,N)HI(I)CAN(N)"
"AMARE","","Ambrosia artemisiifolia var. elatior","Asteraceae","Annual","Forb/herb","L48(I)HI(I)CAN(N)"
"AMCO3","","Ambrosia confertiflora","Asteraceae","Perennial","Forb/herb","L48(N)PR(N)"
"AMGR5","","Ambrosia grayi","Asteraceae","Perennial","Forb/herb","L48(N)"
"AMLI3","","Ambrosia linearis","Asteraceae","Annual","Subshrub","L48(N)"
"AMPS","","Ambrosia psilostachya","Asteraceae","Annual, Perennial","Forb/herb","L48(N)CAN(N)"
"AMTO3","","Ambrosia tomentosa","Asteraceae","Perennial","Forb/herb","L48(N)"
"AMTR","","Ambrosia trifida","Asteraceae","Annual","Subshrub, Forb/herb","L48(N)CAN(N)"
"AMTRT2","","Ambrosia trifida var. trifida","Asteraceae","Annual","Forb/herb, Subshrub","L48(N)CAN(N)"
"AMELA","","Amelanchier","Rosaceae","","","L48(N)CAN(N)SPM(N)"
"AMAL2","","Amelanchier alnifolia","Rosaceae","Perennial","Tree, Shrub","L48(N)AK(N)CAN(N)"
"AMALA","","Amelanchier alnifolia var. alnifolia","Rosaceae","Perennial","Shrub, Tree","L48(N)AK(N)CAN(N)"
"AMPU5","","Amelanchier pumila","Rosaceae","Perennial","Shrub","L48(N)"
"AMUT","","Amelanchier utahensis","Rosaceae","Perennial","Tree, Shrub","L48(N)"
"AMUTU","","Amelanchier utahensis var. utahensis","Rosaceae","Perennial","Shrub, Tree","L48(N)"
"AMMAN","","Ammannia","Lythraceae","","","L48(N)CAN(N)"
"AMRO3","","Ammannia robusta","Lythraceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMORP","","Amorpha","Fabaceae","","","L48(N)CAN(N)"
"AMCA6","","Amorpha canescens","Fabaceae","Perennial","Subshrub, Shrub","L48(N)CAN(N)"
"AMFR","","Amorpha fruticosa","Fabaceae","Perennial","Shrub","L48(N)CAN(N)"
"AMNA","","Amorpha nana","Fabaceae","Perennial","Subshrub, Shrub","L48(N)CAN(N)"
"AMSIN","","Amsinckia","Boraginaceae","","","L48(N)CAN(N)"
"AMLY","","Amsinckia lycopsoides","Boraginaceae","Annual","Forb/herb","L48(N)AK(I)CAN(N)"
"AMME","","Amsinckia menziesii","Boraginaceae","Annual","Forb/herb","L48(N)AK(I)HI(I?)CAN(N)"
"AMMEM2","","Amsinckia menziesii var. menziesii","Boraginaceae","Annual","Forb/herb","L48(N)CAN(N)"
"AMSON","","Amsonia","Apocynaceae","","","L48(N)"
"AMJO","","Amsonia jonesii","Apocynaceae","Perennial","Forb/herb","L48(N)"
"ANAGA","","Anagallis","Primulaceae","","","L48(I,N)CAN(I,N)GL(I)SPM(W)"
"ANAR","","Anagallis arvensis","Primulaceae","Annual, Biennial","Forb/herb","L48(I)HI(I)PR(I)CAN(NI)GL(I)"
"ANARF","","Anagallis arvensis ssp. foemina","Primulaceae","Biennial, AN","Forb/herb","L48(I)CAN(N)"
"ANMI4","","Anagallis minima","Primulaceae","Annual","Forb/herb","L48(N)CAN(N)"
"ANAPH","","Anaphalis","Asteraceae","","","L48(N)CAN(N)SPM(N)"
"ANMA","","Anaphalis margaritacea","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)"
"ANCHU","","Anchusa","Boraginaceae","","","L48(I)CAN(I)"
"ANAZ","","Anchusa azurea","Boraginaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"ANOF","","Anchusa officinalis","Boraginaceae","Biennial, Perennial","Forb/herb","L48(I)CAN(I)"
"ANDRO2","","Andropogon","Poaceae","","","L48(I,N)CAN(N)"
"ANGE","","Andropogon gerardii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ANHA","","Andropogon hallii","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"ANDRO3","","Androsace","Primulaceae","","","L48(I,N)CAN(N)GL(N)"
"ANCH","","Androsace chamaejasme","Primulaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANCHC","","Androsace chamaejasme ssp. carinata","Primulaceae","Perennial","Forb/herb","L48(N)"
"ANCHL","","Androsace chamaejasme ssp. lehmanniana","Primulaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANFI","","Androsace filiformis","Primulaceae","Annual","Forb/herb","L48(N)"
"ANOC2","","Androsace occidentalis","Primulaceae","Annual","Forb/herb","L48(N)CAN(N)"
"ANSE4","","Androsace septentrionalis","Primulaceae","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"ANSEG2","","Androsace septentrionalis ssp. glandulosa","Primulaceae","Annual, Perennial","Forb/herb","L48(N)"
"ANSEP2","","Androsace septentrionalis ssp. puberulenta","Primulaceae","Perennial, AN","Forb/herb","L48(N)CAN(N)"
"ANSES4","","Androsace septentrionalis ssp. subulifera","Primulaceae","Perennial, AN","Forb/herb","L48(N)CAN(N)"
"ANSES5","","Androsace septentrionalis ssp. subumbellata","Primulaceae","Annual, Perennial","Forb/herb","L48(N)CAN(N)"
"ANDRO4","","Androstephium","Liliaceae","","","L48(N)"
"ANBR4","","Androstephium breviflorum","Liliaceae","Perennial","Forb/herb","L48(N)"
"ANEMO","","Anemone","Ranunculaceae","","","L48(I,N)CAN(I,N)GL(N)"
"ANCA8","","Anemone canadensis","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANCY","","Anemone cylindrica","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANMU","","Anemone multifida","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANMUM3","","Anemone multifida var. multifida","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANMUS","","Anemone multifida var. saxicola","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANNA","","Anemone narcissiflora","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANNAZ2","","Anemone narcissiflora var. zephyra","Ranunculaceae","Perennial","Forb/herb","L48(N)"
"ANPA","","Anemone parviflora","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANPAP2","","Anemone parviflora var. parviflora","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"ANVI3","","Anemone virginiana","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANVIV2","","Anemone virginiana var. virginiana","Ranunculaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANEMO3","","Anemopsis","Saururaceae","","","L48(N)"
"ANCA10","","Anemopsis californica","Saururaceae","Perennial","Forb/herb","L48(N)"
"ANETH","","Anethum","Apiaceae","","","L48(I)CAN(I)"
"ANGR2","","Anethum graveolens","Apiaceae","Annual","Forb/herb","L48(I)HI(I)PR(I)VI(I)CAN(I)"
"ANGEL","","Angelica","Apiaceae","","","L48(N)CAN(I,N)GL(N)"
"ANAM","","Angelica ampla","Apiaceae","Perennial","Forb/herb","L48(N)"
"ANGR3","","Angelica grayi","Apiaceae","Perennial","Forb/herb","L48(N)"
"ANPI2","","Angelica pinnata","Apiaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANRO","","Angelica roseana","Apiaceae","Perennial","Forb/herb","L48(N)"
"ANODA","","Anoda","Malvaceae","","","L48(N)"
"ANCR2","","Anoda cristata","Malvaceae","Annual","Forb/herb","L48(N)PR(N)"
"ANTEN","","Antennaria","Asteraceae","","","L48(N)CAN(N)GL(N)SPM(N)"
"ANAN2","","Antennaria anaphaloides","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANCO","","Antennaria corymbosa","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ANDI2","","Antennaria dimorpha","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"ANHO","","Antennaria howellii","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"ANHON","","Antennaria howellii ssp. neodioica","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"ANLU2","","Antennaria luzuloides","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"ANLUL","","Antennaria luzuloides ssp. luzuloides","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"ANMA5","","Antennaria marginata","Asteraceae","Perennial","Forb/herb","L48(N)"
"ANME2","","Antennaria media","Asteraceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
