"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"NYMPH","","Nymphaea","Nymphaeaceae","","","L48(I,N)CAN(I,N)"
"NYOD","","Nymphaea odorata","Nymphaeaceae","Perennial","Forb/herb","L48(N)AK(I)PR(N)CAN(N)"
"NYODO","","Nymphaea odorata ssp. odorata","Nymphaeaceae","Perennial","Forb/herb","L48(N)AK(I)PR(N)CAN(N)"
"OENOT","","Oenothera","Onagraceae","","","L48(I,N)CAN(I,N)SPM(I,N)"
"OEAC","","Oenothera acutissima","Onagraceae","Perennial","Forb/herb","L48(N)"
"OEAL","","Oenothera albicaulis","Onagraceae","Annual","Forb/herb","L48(N)"
"OECA10","","Oenothera caespitosa","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"OECAC2","","Oenothera caespitosa ssp. caespitosa","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"OECAM3","","Oenothera caespitosa ssp. macroglottis","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"OECAM4","","Oenothera caespitosa ssp. marginata","Onagraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"OECAN","","Oenothera caespitosa ssp. navajoensis","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"OECA3","","Oenothera canescens","Onagraceae","Perennial","Forb/herb","L48(N)"
"OECI","","Oenothera cinerea","Onagraceae","Perennial","Subshrub, Forb/herb","L48(I,N)"
"OECIC","","Oenothera cinerea ssp. cinerea","Onagraceae","Perennial","Forb/herb, Subshrub","L48(I,N)"
"OECO","","Oenothera coloradensis","Onagraceae","Biennial","Forb/herb","L48(N)"
"OECOC","","Oenothera coloradensis ssp. coloradensis","Onagraceae","Biennial","Forb/herb","L48(N)"
"OECON2","","Oenothera coloradensis ssp. neomexicana","Onagraceae","Biennial","Forb/herb","L48(N)"
"OECO2","","Oenothera coronopifolia","Onagraceae","Perennial","Forb/herb","L48(N)"
"OECU2","","Oenothera curtiflora","Onagraceae","Annual","Forb/herb","L48(N)"
"OEDE2","","Oenothera deltoides","Onagraceae","Perennial, AN","Forb/herb","L48(N)"
"OEDED4","","Oenothera deltoides ssp. deltoides","Onagraceae","Perennial, AN","Forb/herb","L48(N)"
"OEEL","","Oenothera elata","Onagraceae","Biennial, Perennial","Forb/herb","L48(N)"
"OEELH","","Oenothera elata ssp. hirsutissima","Onagraceae","Perennial, Biennial","Forb/herb","L48(N)"
"OEEN","","Oenothera engelmannii","Onagraceae","Annual","Forb/herb","L48(N)"
"OEFI2","","Oenothera filiformis","Onagraceae","Annual, Biennial, Perennial","Forb/herb","L48(N)CAN(N)"
"OEFL","","Oenothera flava","Onagraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OEFLF","","Oenothera flava ssp. flava","Onagraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OEGR2","","Oenothera grandis","Onagraceae","Annual","Forb/herb","L48(N)"
"OEHA6","","Oenothera harringtonii","Onagraceae","Annual","Forb/herb","L48(N)"
"OEHO2","","Oenothera howardii","Onagraceae","Perennial","Forb/herb","L48(N)"
"OELA2","","Oenothera latifolia","Onagraceae","Perennial","Forb/herb","L48(N)"
