"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Family"
"ABIES","","ABIES","Abies","fir","Pinaceae"
"ABCO","","ABCO","Abies concolor","white fir","Pinaceae"
"ABCO","ABCOC","ABCOC","Abies concolor var. concolor","",""
"ABLA","","ABLA","Abies lasiocarpa","subalpine fir","Pinaceae"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","corkbark fir","Pinaceae"
"ABLAA","ABAR2","ABAR2","Abies arizonica","",""
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAF","ABBAF","Abies balsamea var. fallax","",""
"ABLAL","ABBAL","ABBAL","Abies balsamea ssp. lasiocarpa","",""
"ABLAL","ABBI3","ABBI3","Abies bifolia","",""
"ABLAL","ABLAB","ABLAB","Abies lasiocarpa ssp. bifolia","",""
"ABLAL","ABLAB2","ABLAB2","Abies lasiocarpa var. bifolia","",""
"ABLAL","ABSU","ABSU","Abies subalpina","",""
"ABRON","","ABRON","Abronia","sand verbena","Nyctaginaceae"
"ABAR","","ABAR","Abronia argillosa","clay sand verbena","Nyctaginaceae"
"ABCA","","ABCA","Abronia carletonii","Carleton's sand verbena","Nyctaginaceae"
"ABEL","","ABEL","Abronia elliptica","fragrant white sand verbena","Nyctaginaceae"
"ABEL","ABFRE2","ABFRE2","Abronia fragrans var. elliptica","",""
"ABEL","ABPU2","ABPU2","Abronia pumila","",""
"ABEL","ABRA","ABRA","Abronia ramosa","",""
"ABEL","ABSA3","ABSA3","Abronia salsa","",""
"ABFR2","","ABFR2","Abronia fragrans","snowball sand verbena","Nyctaginaceae"
"ABFR2","ABFRG2","ABFRG2","Abronia fragrans var. glaucescens","",""
"ABNA","","ABNA","Abronia nana","dwarf sand verbena","Nyctaginaceae"
"ABNAN","","ABNAN","Abronia nana var. nana","dwarf sand verbena","Nyctaginaceae"
"ABNAN","ABNAL","ABNAL","Abronia nana var. lanciformis","",""
"ABUTI","","ABUTI","Abutilon","Indian mallow","Malvaceae"
"ABIN","","ABIN","Abutilon incanum","pelotazo","Malvaceae"
"ABIN","ABINI","ABINI","Abutilon incanum ssp. incanum","",""
"ABIN","ABINP","ABINP","Abutilon incanum ssp. pringlei","",""
"ABIN","ABPR4","ABPR4","Abutilon pringlei","",""
"ABPA3","","ABPA3","Abutilon parvulum","dwarf Indian mallow","Malvaceae"
"ABTH","","ABTH","Abutilon theophrasti","velvetleaf","Malvaceae"
"ABTH","ABAB3","ABAB3","Abutilon abutilon","",""
"ABTH","ABAV","ABAV","Abutilon avicennae","",""
"ACARO2","","ACARO2","Acarospora","cracked lichen","Acarosporaceae"
"ACER","","ACER","Acer","maple","Aceraceae"
"ACGL","","ACGL","Acer glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","Rocky Mountain maple","Aceraceae"
"ACGLG2","ACGLT3","ACGLT3","Acer glabrum var. tripartitum","",""
"ACGLG2","ACGLT4","ACGLT4","Acer glabrum var. typicum","",""
"ACGLG2","ACTR3","ACTR3","Acer tripartitum","",""
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","New Mexico maple","Aceraceae"
"ACGLN2","ACGLN","ACGLN","Acer glabrum ssp. neomexicanum","",""
"ACGLN2","ACGLP","ACGLP","Acer glabrum var. parviflorum","",""
"ACGLN2","ACNE6","ACNE6","Acer neomexicanum","",""
"ACGR3","","ACGR3","Acer grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","bigtooth maple","Aceraceae"
"ACGRG","ACSAG2","ACSAG2","Acer saccharum ssp. grandidentatum","",""
"ACGRG","ACSAG3","ACSAG3","Acer saccharum var. grandidentatum","",""
"ACGRG","SAGR17","SAGR17","Saccharodendron grandidentatum","",""
"ACNE2","","ACNE2","Acer negundo","boxelder","Aceraceae"
"ACNEI2","","ACNEI2","Acer negundo var. interius","boxelder","Aceraceae"
"ACNEI2","ACIN3","ACIN3","Acer interius","",""
"ACNEI2","ACNEI","ACNEI","Acer negundo ssp. interius","",""
"ACNEI2","NEACI","NEACI","Negundo aceroides ssp. interius","",""
"ACNEI2","NEIN3","NEIN3","Negundo interius","",""
"ACNEN","","ACNEN","Acer negundo var. negundo","boxelder","Aceraceae"
"ACNEN","ACNEV2","ACNEV2","Acer negundo var. variegatum","",""
"ACNEN","NEAC","NEAC","Negundo aceroides","",""
"ACNEN","NENE","NENE","Negundo negundo","",""
"ACNEV","","ACNEV","Acer negundo var. violaceum","boxelder","Aceraceae"
"ACNEV","NEACV","NEACV","Negundo aceroides ssp. violaceum","",""
"ACHIL","","ACHIL","Achillea","yarrow","Asteraceae"
"ACMI2","","ACMI2","Achillea millefolium","common yarrow","Asteraceae"
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","common yarrow","Asteraceae"
"ACMIA","ACAL11","ACAL11","Achillea alpicola","",""
"ACMIA","ACFU","ACFU","Achillea fusca","",""
"ACMIA","ACLAA","ACLAA","Achillea lanulosa ssp. alpicola","",""
"ACMIA","ACLAA2","ACLAA2","Achillea lanulosa var. alpicola","",""
"ACMIA","ACMIF","ACMIF","Achillea millefolium var. fusca","",""
"ACMIA","ACSU3","ACSU3","Achillea subalpina","",""
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","western yarrow","Asteraceae"
"ACMIO","ACAN7","ACAN7","Achillea angustissima","",""
"ACMIO","ACAS2","ACAS2","Achillea aspleniifolia","",""
"ACMIO","ACER2","ACER2","Achillea eradiata","",""
"ACMIO","ACGR5","ACGR5","Achillea gracilis","",""
"ACMIO","ACLA3","ACLA3","Achillea laxiflora","",""
"ACMIO","ACLA5","ACLA5","Achillea lanulosa","",""
"ACMIO","ACLAA3","ACLAA3","Achillea lanulosa var. arachnoidea","",""
"ACMIO","ACLAE","ACLAE","Achillea lanulosa var. eradiata","",""
"ACMIO","ACLAT","ACLAT","Achillea lanulosa ssp. typica","",""
"ACMIO","ACMIA4","ACMIA4","Achillea millefolium var. aspleniifolia","",""
"ACMIO","ACMIG2","ACMIG2","Achillea millefolium var. gracilis","",""
"ACMIO","ACMIL","ACMIL","Achillea millefolium ssp. lanulosa","",""
"ACMIO","ACMIL3","ACMIL3","Achillea millefolium var. lanulosa","",""
"ACMIO","ACMIO2","ACMIO2","Achillea millefolium ssp. occidentalis","",""
"ACMIO","ACMIP5","ACMIP5","Achillea millefolium ssp. pallidotegula","",""
"ACMIO","ACMIR","ACMIR","Achillea millefolium var. rosea","",""
"ACMIO","ACMIR2","ACMIR2","Achillea millefolium var. russeolata","",""
"ACMIO","ACOC","ACOC","Achillea occidentalis","",""
"ACMIO","ACRO4","ACRO4","Achillea rosea","",""
"ACMIO","ACTO3","ACTO3","Achillea tomentosa","",""
"ACHNA","","ACHNA","Achnatherum","needlegrass","Poaceae"
"ACBL","","ACBL","Achnatherum ×bloomeri","","Poaceae"
"ACBL","ORBL","ORBL","Oryzopsis bloomeri","",""
"ACBL","STBL4","STBL4","Stipa bloomeri","",""
"ACBL","STBL5","STBL5","Stiporyzopsis bloomeri","",""
"ACAR14","","ACAR14","Achnatherum aridum","Mormon needlegrass","Poaceae"
"ACAR14","STAR2","STAR2","Stipa arida","",""
"ACCO22","","ACCO22","Achnatherum contractum","contracted ricegrass","Poaceae"
"ACCO22","ORCO3","ORCO3","Oryzopsis contracta","",""
"ACCO22","ORHYC","ORHYC","Oryzopsis hymenoides var. contracta","",""
"ACCO22","STCO11","STCO11","Stipa contracta","",""
"ACHY","","ACHY","Achnatherum hymenoides","Indian ricegrass","Poaceae"
"ACHY","ERCU9","ERCU9","Eriocoma cuspidata","",""
"ACHY","ORHY","ORHY","Oryzopsis hymenoides","",""
"ACHY","STHY6","STHY6","Stipa hymenoides","",""
"ACLE9","","ACLE9","Achnatherum lettermanii","Letterman's needlegrass","Poaceae"
"ACLE9","STLE4","STLE4","Stipa lettermanii","",""
"ACNE9","","ACNE9","Achnatherum nelsonii","Columbia needlegrass","Poaceae"
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","Poaceae"
"ACNED","ACNED2","ACNED2","Achnatherum nelsonii var. dorei","",""
"ACNED","STCO3","STCO3","Stipa columbiana","",""
"ACNED","STMI6","STMI6","Stipa minor","",""
"ACNED","STNED","STNED","Stipa nelsonii ssp. dorei","",""
"ACNED","STNED2","STNED2","Stipa nelsonii var. dorei","",""
"ACNED","STOCM","STOCM","Stipa occidentalis var. minor","",""
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","Poaceae"
"ACNEN2","STCON2","STCON2","Stipa columbiana var. nelsonii","",""
"ACNEN2","STNE3","STNE3","Stipa nelsonii","",""
"ACNEN2","STOCN","STOCN","Stipa occidentalis var. nelsonii","",""
"ACNEN2","STWI","STWI","Stipa williamsii","",""
"ACNE10","","ACNE10","Achnatherum nevadense","Nevada needlegrass","Poaceae"
"ACNE10","STNE4","STNE4","Stipa nevadensis","",""
"ACOC3","","ACOC3","Achnatherum occidentale","western needlegrass","Poaceae"
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","Poaceae"
"ACOCP","STEL2","STEL2","Stipa elmeri","",""
"ACOCP","STOCP","STOCP","Stipa occidentalis var. pubescens","",""
"ACPI2","","ACPI2","Achnatherum pinetorum","pine needlegrass","Poaceae"
"ACPI2","STPI2","STPI2","Stipa pinetorum","",""
"ACRI8","","ACRI8","Achnatherum richardsonii","Richardson's needlegrass","Poaceae"
"ACRI8","STRI2","STRI2","Stipa richardsonii","",""
"ACRO7","","ACRO7","Achnatherum robustum","sleepygrass","Poaceae"
"ACRO7","STRO3","STRO3","Stipa robusta","",""
"ACRO7","STVA4","STVA4","Stipa vaseyi","",""
"ACSC11","","ACSC11","Achnatherum scribneri","Scribner needlegrass","Poaceae"
"ACSC11","STSC2","STSC2","Stipa scribneri","",""
"ACSP12","","ACSP12","Achnatherum speciosum","desert needlegrass","Poaceae"
"ACSP12","STSP3","STSP3","Stipa speciosa","",""
"ACTH7","","ACTH7","Achnatherum thurberianum","Thurber's needlegrass","Poaceae"
"ACTH7","STTH2","STTH2","Stipa thurberiana","",""
"ACWE3","","ACWE3","Achnatherum webberi","Webber needlegrass","Poaceae"
"ACWE3","ORWE","ORWE","Oryzopsis webberi","",""
"ACWE3","STWE","STWE","Stipa webberi","",""
"ACONI","","ACONI","Aconitum","monkshood","Ranunculaceae"
"ACCO4","","ACCO4","Aconitum columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","","ACCOC3","Aconitum columbianum ssp. columbianum","Columbian monkshood","Ranunculaceae"
"ACCOC3","ACCOB","ACCOB","Aconitum columbianum var. bakeri","",""
"ACCOC3","ACCOO","ACCOO","Aconitum columbianum var. ochroleucum","",""
"ACCOC3","ACCOP","ACCOP","Aconitum columbianum ssp. pallidum","",""
"ACCOC3","ACGE3","ACGE3","Aconitum geranioides","",""
"ACCOC3","ACLE6","ACLE6","Aconitum leibergii","",""
"ACCOC3","ACMO3","ACMO3","Aconitum mogollonicum","",""
"ACORU","","ACORU","Acorus","sweetflag","Acoraceae"
"ACCA4","","ACCA4","Acorus calamus","calamus","Acoraceae"
"ACROP","","ACROP","Acroptilon","hardheads","Asteraceae"
"ACRE3","","ACRE3","Acroptilon repens","hardheads","Asteraceae"
"ACRE3","CEPI3","CEPI3","Centaurea picris","",""
"ACRE3","CERE6","CERE6","Centaurea repens","",""
"ACTAE","","ACTAE","Actaea","baneberry","Ranunculaceae"
"ACRU2","","ACRU2","Actaea rubra","red baneberry","Ranunculaceae"
"ACRUA8","","ACRUA8","Actaea rubra ssp. arguta","red baneberry","Ranunculaceae"
"ACRUA8","ACAR7","ACAR7","Actaea arguta","",""
"ACRUA8","ACARV","ACARV","Actaea arguta var. viridiflora","",""
"ACRUA8","ACRUA","ACRUA","Actaea rubra var. arguta","",""
"ACRUA8","ACSPA","ACSPA","Actaea spicata var. arguta","",""
"ADIAN","","ADIAN","Adiantum","maidenhair fern","Pteridaceae"
"ADAL","","ADAL","Adiantum aleuticum","Aleutian maidenhair","Pteridaceae"
"ADAL","ADPEA","ADPEA","Adiantum pedatum var. aleuticum","",""
"ADAL","ADPEA2","ADPEA2","Adiantum pedatum ssp. aleuticum","",""
"ADAL","ADPEC","ADPEC","Adiantum pedatum ssp. calderi","",""
"ADAL","ADPES","ADPES","Adiantum pedatum ssp. subpumilum","",""
"ADAL","ADPES2","ADPES2","Adiantum pedatum var. subpumilum","",""
"ADCA","","ADCA","Adiantum capillus-veneris","common maidenhair","Pteridaceae"
"ADCA","ADCAM","ADCAM","Adiantum capillus-veneris var. modestum","",""
"ADCA","ADCAP","ADCAP","Adiantum capillus-veneris var. protrusum","",""
"ADCA","ADMO2","ADMO2","Adiantum modestum","",""
"ADOXA","","ADOXA","Adoxa","adoxa","Adoxaceae"
"ADMO","","ADMO","Adoxa moschatellina","muskroot","Adoxaceae"
"AEGIL","","AEGIL","Aegilops","goatgrass","Poaceae"
"AECY","","AECY","Aegilops cylindrica","jointed goatgrass","Poaceae"
"AECY","AECYR","AECYR","Aegilops cylindrica var. rubiginosa","",""
"AECY","AETA3","AETA3","Aegilops tauschii","",""
"AECY","CYCY5","CYCY5","Cylindropyrum cylindricum","",""
"AECY","TRCY3","TRCY3","Triticum cylindricum","",""
"AGALI","","AGALI","Agalinis","false foxglove","Scrophulariaceae"
"AGTE3","","AGTE3","Agalinis tenuifolia","slenderleaf false foxglove","Scrophulariaceae"
"AGTEP2","","AGTEP2","Agalinis tenuifolia var. parviflora","slenderleaf false foxglove","Scrophulariaceae"
"AGTEP2","GETEP4","GETEP4","Gerardia tenuifolia var. parviflora","",""
"AGTEP2","GETEP6","GETEP6","Gerardia tenuifolia ssp. parviflora","",""
"AGAST","","AGAST","Agastache","giant hyssop","Lamiaceae"
"AGFO","","AGFO","Agastache foeniculum","blue giant hyssop","Lamiaceae"
"AGFO","AGAN3","AGAN3","Agastache anethiodora","",""
"AGPA","","AGPA","Agastache pallidiflora","Bill Williams Mountain giant hyssop","Lamiaceae"
"AGPAP2","","AGPAP2","Agastache pallidiflora ssp. pallidiflora","Bill Williams Mountain giant hyssop","Lamiaceae"
"AGPAG4","","AGPAG4","Agastache pallidiflora ssp. pallidiflora var. greenei","Bill Williams Mountain giant hyssop","Lamiaceae"
"AGPAG4","AGGR10","AGGR10","Agastache greenei","",""
"AGUR","","AGUR","Agastache urticifolia","nettleleaf giant hyssop","Lamiaceae"
"AGURU","","AGURU","Agastache urticifolia var. urticifolia","nettleleaf giant hyssop","Lamiaceae"
"AGERA2","","AGERA2","Ageratina","snakeroot","Asteraceae"
"AGHE5","","AGHE5","Ageratina herbacea","fragrant snakeroot","Asteraceae"
"AGHE5","EUHE7","EUHE7","Eupatorium herbaceum","",""
"AGOSE","","AGOSE","Agoseris","agoseris","Asteraceae"
"AGAU2","","AGAU2","Agoseris aurantiaca","orange agoseris","Asteraceae"
"AGAUA","","AGAUA","Agoseris aurantiaca var. aurantiaca","orange agoseris","Asteraceae"
"AGAUA","AGGR7","AGGR7","Agoseris graminifolia","",""
"AGAUA","AGRO2","AGRO2","Agoseris rostrata","",""
"AGAUA","TRAU8","TRAU8","Troximon aurantiacum","",""
"AGAUP","","AGAUP","Agoseris aurantiaca var. purpurea","orange agoseris","Asteraceae"
"AGAUP","AGAUP2","AGAUP2","Agoseris aurantiaca ssp. purpurea","",""
"AGGL","","AGGL","Agoseris glauca","pale agoseris","Asteraceae"
"AGGLA","","AGGLA","Agoseris glauca var. agrestis","pale agoseris","Asteraceae"
"AGGLA","AGAG","AGAG","Agoseris agrestis","",""
"AGGLD","","AGGLD","Agoseris glauca var. dasycephala","pale agoseris","Asteraceae"
"AGGLD","AGGLA2","AGGLA2","Agoseris glauca var. asper","",""
"AGGLD","AGGLP2","AGGLP2","Agoseris glauca var. pumila","",""
"AGGLD","AGGLS","AGGLS","Agoseris glauca ssp. scorzonerifolia","",""
"AGGLD","AGSC7","AGSC7","Agoseris scorzonerifolia","",""
"AGGLD","TRGLD","TRGLD","Troximon glaucum var. dasycephalum","",""
"AGGLG","","AGGLG","Agoseris glauca var. glauca","pale agoseris","Asteraceae"
"AGGLG","AGTU3","AGTU3","Agoseris turbinata","",""
"AGGLG","TRGL7","TRGL7","Troximon glaucum","",""
"AGGLL","","AGGLL","Agoseris glauca var. laciniata","false agoseris","Asteraceae"
"AGGLL","AGAR5","AGAR5","Agoseris arizonica","",""
"AGGLL","AGGLP","AGGLP","Agoseris glauca var. parviflora","",""
"AGGLL","AGPA14","AGPA14","Agoseris parviflora","",""
"AGGLL","MAGLL","MAGLL","Macrorhynchus glaucus var. laciniatus","",""
"AGGLL","TRPA12","TRPA12","Troximon parviflorum","",""
"AGHE2","","AGHE2","Agoseris heterophylla","annual agoseris","Asteraceae"
"AGHEH","","AGHEH","Agoseris heterophylla var. heterophylla","annual agoseris","Asteraceae"
"AGHEH","AGHEC2","AGHEC2","Agoseris heterophylla ssp. californica","",""
"AGHEH","AGHEC3","AGHEC3","Agoseris heterophylla var. cryptopleura","",""
"AGHEH","AGHEK","AGHEK","Agoseris heterophylla var. kymapleura","",""
"AGHEH","AGHEN","AGHEN","Agoseris heterophylla ssp. normalis","",""
"AGHEH","MAHE4","MAHE4","Macrorhynchus heterophyllus","",""
"AGRIM","","AGRIM","Agrimonia","agrimony","Rosaceae"
"AGST","","AGST","Agrimonia striata","roadside agrimony","Rosaceae"
"AGROP2","","AGROP2","Agropyron","wheatgrass","Poaceae"
"AGCR","","AGCR","Agropyron cristatum","crested wheatgrass","Poaceae"
"AGCRC","","AGCRC","Agropyron cristatum ssp. cristatum","crested wheatgrass","Poaceae"
"AGCRP8","","AGCRP8","Agropyron cristatum ssp. pectinatum","crested wheatgrass","Poaceae"
"AGCRP8","AGCR3","AGCR3","Agropyron cristatiforme","",""
"AGCRP8","AGPE5","AGPE5","Agropyron pectiniforme","",""
"AGCRP8","AGPE6","AGPE6","Agropyron pectinatum","",""
"AGDE2","","AGDE2","Agropyron desertorum","desert wheatgrass","Poaceae"
"AGDE2","AGCRD","AGCRD","Agropyron cristatum ssp. desertorum","",""
"AGDE2","AGCRD2","AGCRD2","Agropyron cristatum var. desertorum","",""
"AGFR","","AGFR","Agropyron fragile","Siberian wheatgrass","Poaceae"
"AGFR","AGCRF","AGCRF","Agropyron cristatum ssp. fragile","",""
"AGFR","AGCRF2","AGCRF2","Agropyron cristatum var. fragile","",""
"AGFR","AGFRM","AGFRM","Agropyron fragile ssp. mongolicum","",""
"AGFR","AGFRS","AGFRS","Agropyron fragile ssp. sibiricum","",""
"AGFR","AGFRS2","AGFRS2","Agropyron fragile var. sibiricum","",""
"AGFR","AGMO6","AGMO6","Agropyron mongolicum","",""
"AGFR","AGSI","AGSI","Agropyron sibiricum","",""
"AGROS","","AGROS","Agrostemma","corncockle","Caryophyllaceae"
"AGBR4","","AGBR4","Agrostemma brachyloba","narrow corncockle","Caryophyllaceae"
"AGBR4","AGGR5","AGGR5","Agrostemma gracilis","",""
"AGGI","","AGGI","Agrostemma githago","common corncockle","Caryophyllaceae"
"AGROS2","","AGROS2","Agrostis","bentgrass","Poaceae"
"AGEX","","AGEX","Agrostis exarata","spike bentgrass","Poaceae"
"AGEX","AGAE2","AGAE2","Agrostis aenea","",""
"AGEX","AGAL2","AGAL2","Agrostis alaskana","",""
"AGEX","AGAM2","AGAM2","Agrostis ampla","",""
"AGEX","AGAS4","AGAS4","Agrostis asperifolia","",""
"AGEX","AGEXM","AGEXM","Agrostis exarata var. minor","",""
"AGEX","AGEXM2","AGEXM2","Agrostis exarata var. monolepis","",""
"AGEX","AGEXM3","AGEXM3","Agrostis exarata ssp. minor","",""
"AGEX","AGEXP","AGEXP","Agrostis exarata var. purpurascens","",""
"AGEX","AGEXP2","AGEXP2","Agrostis exarata var. pacifica","",""
"AGEX","AGLO2","AGLO2","Agrostis longiligula","",""
"AGEX","AGLOA","AGLOA","Agrostis longiligula var. australis","",""
"AGEX","AGME","AGME","Agrostis melaleuca","",""
"AGEX","AGMIM","AGMIM","Agrostis microphylla var. major","",""
"AGGI2","","AGGI2","Agrostis gigantea","redtop","Poaceae"
"AGGI2","AGAL3","AGAL3","Agrostis alba","",""
"AGGI2","AGGID","AGGID","Agrostis gigantea var. dispar","",""
"AGGI2","AGNI","AGNI","Agrostis nigra","",""
"AGGI2","AGSTG","AGSTG","Agrostis stolonifera ssp. gigantea","",""
"AGGI2","AGSTM","AGSTM","Agrostis stolonifera var. major","",""
"AGHU","","AGHU","Agrostis humilis","alpine bentgrass","Poaceae"
"AGHU","AGTH2","AGTH2","Agrostis thurberiana","",""
"AGHU","POHU","POHU","Podagrostis humilis","",""
"AGHU","POTH3","POTH3","Podagrostis thurberiana","",""
"AGID","","AGID","Agrostis idahoensis","Idaho bentgrass","Poaceae"
"AGID","AGBOR","AGBOR","Agrostis borealis var. recta","",""
"AGID","AGCL4","AGCL4","Agrostis clavata","",""
"AGID","AGFI3","AGFI3","Agrostis filicumis","",""
"AGME3","","AGME3","Agrostis mertensii","northern bentgrass","Poaceae"
"AGME3","AGBA5","AGBA5","Agrostis bakeri","",""
"AGME3","AGBO2","AGBO2","Agrostis borealis","",""
"AGME3","AGBOA3","AGBOA3","Agrostis borealis var. americana","",""
"AGME3","AGBOP","AGBOP","Agrostis borealis var. paludosa","",""
"AGME3","AGIDB","AGIDB","Agrostis idahoensis var. bakeri","",""
"AGME3","AGMEB","AGMEB","Agrostis mertensii ssp. borealis","",""
"AGME3","AGRU2","AGRU2","Agrostis rupestris","",""
"AGSC5","","AGSC5","Agrostis scabra","rough bentgrass","Poaceae"
"AGSC5","AGGE2","AGGE2","Agrostis geminata","",""
"AGSC5","AGHYG","AGHYG","Agrostis hyemalis var. geminata","",""
"AGSC5","AGHYS","AGHYS","Agrostis hyemalis var. scabra","",""
"AGSC5","AGHYT","AGHYT","Agrostis hyemalis var. tenuis","",""
"AGSC5","AGSCG","AGSCG","Agrostis scabra var. geminata","",""
"AGSC5","AGSCS","AGSCS","Agrostis scabra var. septentrionalis","",""
"AGSC5","AGSCS4","AGSCS4","Agrostis scabra ssp. septentrionalis","",""
"AGST2","","AGST2","Agrostis stolonifera","creeping bentgrass","Poaceae"
"AGST2","AGALP","AGALP","Agrostis alba var. palustris","",""
"AGST2","AGALS","AGALS","Agrostis alba var. stolonifera","",""
"AGST2","AGMA10","AGMA10","Agrostis maritima","",""
"AGST2","AGPA17","AGPA17","Agrostis palustris","",""
"AGST2","AGSTC","AGSTC","Agrostis stolonifera var. compacta","",""
"AGST2","AGSTP","AGSTP","Agrostis stolonifera var. palustris","",""
"AGVA","","AGVA","Agrostis variabilis","mountain bentgrass","Poaceae"
"AGVA","AGRO7","AGRO7","Agrostis rossiae","",""
"AILAN","","AILAN","Ailanthus","ailanthus","Simaroubaceae"
"AIAL","","AIAL","Ailanthus altissima","tree of heaven","Simaroubaceae"
"AIAL","AIGL","AIGL","Ailanthus glandulosa","",""
"AIAL","TOAL4","TOAL4","Toxicodendron altissimum","",""
"ALCEA","","ALCEA","Alcea","hollyhock","Malvaceae"
"ALRO3","","ALRO3","Alcea rosea","hollyhock","Malvaceae"
"ALRO3","ALFI9","ALFI9","Alcea ficifolia","",""
"ALRO3","ALRO4","ALRO4","Althaea rosea","",""
"ALETE","","ALETE","Aletes","Indian parsley","Apiaceae"
"ALAC2","","ALAC2","Aletes acaulis","stemless Indian parsley","Apiaceae"
"ALAC2","CYHA14","CYHA14","Cymopterus hallii","",""
"ALAN3","","ALAN3","Aletes anisatus","Rocky Mountain Indian parsley","Apiaceae"
"ALAN3","CYAN8","CYAN8","Cymopterus anisatus","",""
"ALAN3","PTAN4","PTAN4","Pteryxia anisata","",""
"ALHU","","ALHU","Aletes humilis","Colorado aletes","Apiaceae"
"ALMA3","","ALMA3","Aletes macdougalii","MacDougal's Indian parsley","Apiaceae"
"ALMAB","","ALMAB","Aletes macdougalii ssp. breviradiatus","MacDougal's Indian parsley","Apiaceae"
"ALSE5","","ALSE5","Aletes sessiliflorus","sessileflower Indian parsley","Apiaceae"
"ALHAG","","ALHAG","Alhagi","alhagi","Fabaceae"
"ALMA12","","ALMA12","Alhagi maurorum","camelthorn","Fabaceae"
"ALMA12","ALCA","ALCA","Alhagi camelorum","",""
"ALMA12","ALPS3","ALPS3","Alhagi pseudalhagi","",""
"ALICI","","ALICI","Aliciella","aliciella","Polemoniaceae"
"ALHA6","","ALHA6","Aliciella haydenii","San Juan gilia","Polemoniaceae"
"ALHA6","ALHAC","ALHAC","Aliciella haydenii ssp. crandallii","",""
"ALHA6","GIHA2","GIHA2","Gilia haydenii","",""
"ALHA6","GIMO2","GIMO2","Gilia montezumae","",""
"ALHA6","GISUH","GISUH","Gilia subnuda ssp. haydenii","",""
"ALLE7","","ALLE7","Aliciella leptomeria","sand gilia","Polemoniaceae"
"ALLE7","GILE3","GILE3","Gilia leptomeria","",""
"ALMC","","ALMC","Aliciella mcvickerae","Mcvicker's gilia","Polemoniaceae"
"ALMC","GICA12","GICA12","Gilia calcarea","",""
"ALMC","GIMC","GIMC","Gilia mcvickerae","",""
"ALMC","GIPIC","GIPIC","Gilia pinnatifida var. calcarea","",""
"ALMI10","","ALMI10","Aliciella micromeria","dainty gilia","Polemoniaceae"
"ALMI10","GILEM2","GILEM2","Gilia leptomeria var. micromeria","",""
"ALMI10","GILEM3","GILEM3","Gilia leptomeria ssp. micromeria","",""
"ALMI10","GIMI4","GIMI4","Gilia micromeria","",""
"ALPE11","","ALPE11","Aliciella penstemonoides","Black Canyon gilia","Polemoniaceae"
"ALPE11","GIPE","GIPE","Gilia penstemonoides","",""
"ALPI2","","ALPI2","Aliciella pinnatifida","sticky gilia","Polemoniaceae"
"ALPI2","GIPI","GIPI","Gilia pinnatifida","",""
"ALSE11","","ALSE11","Aliciella sedifolia","stonecrop gilia","Polemoniaceae"
"ALSE11","GISE","GISE","Gilia sedifolia","",""
"ALST12","","ALST12","Aliciella stenothyrsa","Uinta Basin gilia","Polemoniaceae"
"ALST12","GIST2","GIST2","Gilia stenothyrsa","",""
"ALST12","IPST3","IPST3","Ipomopsis stenothyrsa","",""
"ALSU10","","ALSU10","Aliciella subacaulis","pinyon gilia","Polemoniaceae"
"ALSU10","GISU2","GISU2","Gilia subacaulis","",""
"ALSU9","","ALSU9","Aliciella subnuda","coral gilia","Polemoniaceae"
"ALSU9","GISU","GISU","Gilia subnuda","",""
"ALSU9","GISUS","GISUS","Gilia subnuda ssp. superba","",""
"ALTR14","","ALTR14","Aliciella triodon","coyote gilia","Polemoniaceae"
"ALTR14","GITR4","GITR4","Gilia triodon","",""
"ALISM","","ALISM","Alisma","water plantain","Alismataceae"
"ALGR","","ALGR","Alisma gramineum","narrowleaf water plantain","Alismataceae"
"ALGR","ALGE3","ALGE3","Alisma geyeri","",""
"ALGR","ALGRA","ALGRA","Alisma gramineum var. angustissimum","",""
"ALGR","ALGRG2","ALGRG2","Alisma gramineum var. geyeri","",""
"ALGR","ALGRG3","ALGRG3","Alisma gramineum var. graminifolium","",""
"ALGR","ALGRW","ALGRW","Alisma gramineum var. wahlenbergii","",""
"ALGR","ALLA5","ALLA5","Alisma lanceolatum","",""
"ALSU","","ALSU","Alisma subcordatum","American water plantain","Alismataceae"
"ALSU","ALPLP","ALPLP","Alisma plantago-aquatica var. parviflorum","",""
"ALSU","ALPLS","ALPLS","Alisma plantago-aquatica ssp. subcordatum","",""
"ALTR7","","ALTR7","Alisma triviale","northern water plantain","Alismataceae"
"ALTR7","ALBR10","ALBR10","Alisma brevipes","",""
